name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Flavobacterium psychrophilum	96345	S	3	0	3	0.00001
Flavobacterium album	2175091	S	1	0	1	0.00000
Flavobacterium indicum	312277	S	1	0	1	0.00000
Polaribacter reichenbachii	996801	S	1	0	1	0.00000
Maribacter sp. HTCC2170	313603	S	1	0	1	0.00000
Marixanthomonas sp. SCSIO 43207	2779360	S	1	0	1	0.00000
Zunongwangia sp. SCSIO 43204	2779359	S	1	0	1	0.00000
Aquimarina sp. BL5	1714860	S	1	0	1	0.00000
Changchengzhania lutea	2049305	S	1	0	1	0.00000
Chryseobacterium sp. CJ51	2956784	S	1	0	1	0.00000
Chryseobacterium sp. T16E-39	2015076	S	1	0	1	0.00000
Chryseobacterium sp. G0162	2487063	S	1	0	1	0.00000
Chryseobacterium sp. SNU WT5	2594269	S	1	0	1	0.00000
Chryseobacterium indologenes	253	S	1	0	1	0.00000
Chryseobacterium joostei	112234	S	1	0	1	0.00000
Ornithobacterium rhinotracheale	28251	S	1	0	1	0.00000
Empedobacter brevis	247	S	1	0	1	0.00000
Elizabethkingia anophelis	1117645	S	1	0	1	0.00000
Blattabacterium cuenoti	1653831	S	2	0	2	0.00000
Blattabacterium sp. (Cryptocercus kyebangensis)	298656	S	1	0	1	0.00000
Pedobacter heparinus	984	S	2	0	2	0.00000
Pedobacter cryoconitis	188932	S	1	0	1	0.00000
Pedobacter mucosus	2895286	S	1	0	1	0.00000
Sphingobacterium sp. UDSM-2020	2795738	S	1	0	1	0.00000
Sphingobacterium sp. SRCM116780	2907623	S	1	0	1	0.00000
Sphingobacterium thalpophilum	259	S	1	0	1	0.00000
Flavisolibacter tropicus	1492898	S	1	0	1	0.00000
Aureispira sp. EL160426	2864201	S	1	0	1	0.00000
Ignavibacterium album	591197	S	1	0	1	0.00000
Gemmatirosa kalamazoonensis	861299	S	5	0	5	0.00001
Gemmatimonas groenlandica	2732249	S	1	0	1	0.00000
Gimesia algae	2527971	S	8	0	8	0.00002
Planctomyces sp. SH-PL14	1632864	S	3	0	3	0.00001
Planctopirus limnophila	120	S	1	0	1	0.00000
Urbifossiella limnaea	2528023	S	3	0	3	0.00001
Aureliella helgolandensis	2527968	S	1	0	1	0.00000
Candidatus Uabimicrobium amorphum	2596890	S	1	0	1	0.00000
Verrucomicrobium spinosum	2736	S	1	0	1	0.00000
Treponema denticola	158	S	3	0	3	0.00001
Gracilinema caldarium	215591	S	1	0	1	0.00000
Leptospira santarosai	28183	S	3	0	3	0.00001
Leptospira borgpetersenii	174	S	1	0	1	0.00000
Streptobacillus moniliformis	34105	S	1	0	1	0.00000
Sneathia vaginalis	187101	S	1	0	1	0.00000
Deferribacter desulfuricans	197162	S	1	0	1	0.00000
Homo sapiens	9606	S	61350	0	61350	0.14713
Natribaculum sp. AD-4	2961596	S	16	0	16	0.00004
Natronomonas gomsonensis	1046043	S	5	0	5	0.00001
Halorussus sp. XZYJ18	2953748	S	1	0	1	0.00000
Halorubrum salinarum	2739057	S	1	0	1	0.00000
Methanosarcina barkeri	2208	S	1	0	1	0.00000
Methanococcus maripaludis	39152	S	1	0	1	0.00000
Sulfolobus acidocaldarius	2285	S	6	0	6	0.00001
Candidatus Nitrosopumilus koreensis	1510466	S	2	0	2	0.00000
Candidatus Nitrosocosmicus oleophilus	1353260	S	1	0	1	0.00000
Candidatus Prometheoarchaeum syntrophicum	2594042	S	2	0	2	0.00000
Severe acute respiratory syndrome-related coronavirus	694009	S	3671	0	3671	0.00880
Evevirus ev239	2955874	S	6	0	6	0.00001
Eganvirus SW9	2846110	S	1	0	1	0.00000
Tequatrovirus kaw	2844208	S	1	0	1	0.00000
Sepunavirus IPLAC1C	1980931	S	1	0	1	0.00000
Denvervirus dv9183	2955750	S	1	0	1	0.00000
Chrysochromulina ericina virus	455364	S	1	0	1	0.00000
